id;data_criacao;marca;modelo;kms;data_peritagem;oficina;estado;autoriz_repar;orc_pecas;orc_mo_chapa;orc_mo_pintura;orc_mat_pintura;orc_mat_comp;imobilizado;data_reboque;ponto_situacao;agendamento_repar;tempo_repar;data_real_inicio_repar;data_real_fim_repar;dias_atraso_sem_fds;mao_obra_chapa;mao_obra_pintura;mo_horas_orc_pintura;mo_horas_orc_chapa
3915;08/11/2023;Fiat;Tipo;43162;10/11/2023;Carnaxide;Definitiva;13/11/2023;852,68;379,41;130,32;91,03;0;Não;;Concluído;13/12/2023;3;13/12/2023;15/12/2023;0;2;2;3,34;9,73
3887;03/11/2023;Citroen;C5 Aircross;0;10/11/2023;Carnaxide;Definitiva;13/11/2023;824,54;292,87;125,44;113,68;0;Não;;Concluído;13/12/2023;3;14/12/2023;15/12/2023;0;2;3,5;3,22;7,51
3908;07/11/2023;Peugeot;308;0;09/11/2023;Carnaxide;Definitiva;14/11/2023;1 780,36 €;1 161,68 €;339,72;183,82;0;Não;;Concluído;11/12/2023;5;11/12/2023;14/12/2023;0;12;5,5;8,71;29,79
3878;31/10/2023;Peugeot;5008;0;09/11/2023;Carnaxide;Definitiva;10/11/2023;393,92;351,43;84,93;59,59;0;Não;;Concluído;05/12/2023;3;05/12/2023;07/12/2023;0;2;2;2,18;9,01
3896;06/11/2023;Peugeot;308;0;09/11/2023;Carnaxide;Definitiva;10/11/2023;941,48;185,48;59,55;55,12;0;Não;;Concluído;13/12/2023;3;13/12/2023;14/12/2023;0;1,5;1;1,53;4,76
3888;03/11/2023;Mercedes-Benz;GLC SUV (253);0;09/11/2023;Carnaxide;Definitiva;09/11/2023;1 937,48 €;239,17;67,36;75,1;0;Não;;Concluído;13/12/2023;3;14/12/2023;15/12/2023;0;2;1;1,73;6,13
3854;26/10/2023;Opel;Crossland X;0;08/11/2023;Carnaxide;Definitiva;13/11/2023;1 127,83 €;87,86;54,67;41,14;0;Não;;Concluído;13/12/2023;2;13/12/2023;14/12/2023;0;1,5;1;1,4;2,25
3900;07/11/2023;SEAT;Leon;0;08/11/2023;Carnaxide;Definitiva;08/11/2023;1 144,7 €;497,86;275,29;158,51;0;Não;;Concluído;12/12/2023;4;12/12/2023;13/12/2023;0;4,5;4;7,06;12,77
3866;30/10/2023;Peugeot;308;0;07/11/2023;Queluz;Definitiva;08/11/2023;343,85;146,43;130,32;91,03;0;Não;;Concluído;29/11/2023;2;29/11/2023;30/11/2023;0;1,5;2;3,34;3,75
3375;24/08/2023;Citroen;C3;0;07/11/2023;Carnaxide;Definitiva;08/11/2023;258,44;1 234,9 €;167,91;69,1;0;Não;;Concluído;23/11/2023;6;23/11/2023;29/11/2023;0;12;3,5;4,31;31,66
3841;25/10/2023;Toyota;Auris;0;07/11/2023;Carnaxide;Definitiva;13/11/2023;35,96;263,57;116,17;38,32;0;Não;;Concluído;13/12/2023;3;13/12/2023;15/12/2023;0;2,5;2;2,98;6,76
3884;02/11/2023;BMW;Serie 2;20982;06/11/2023;Carnaxide;Definitiva;07/11/2023;809,89;524,7;271,38;135,93;0;Não;;Concluído;27/11/2023;4;27/11/2023;30/11/2023;0;5;3;6,96;13,45
3857;27/10/2023;Audi;A4;154394;06/11/2023;Carnaxide;Definitiva;06/11/2023;86;302,63;257,23;146,86;0;Não;;Concluído;05/12/2023;3;05/12/2023;07/12/2023;0;3;4;6,6;7,76
3861;27/10/2023;Renault;Megane;89103;02/11/2023;Carnaxide;Definitiva;02/11/2023;1 628,45 €;209,88;80,54;106,26;0;Não;;Concluído;05/12/2023;3;05/12/2023;07/12/2023;0;3;2;2,07;5,38
3855;26/10/2023;Peugeot;208;11063;02/11/2023;Carnaxide;Definitiva;02/11/2023;592,72;771,2;191,82;86,16;0;Não;;Concluído;20/11/2023;5;20/11/2023;24/11/2023;0;6;3;4,92;19,77
3844;25/10/2023;Toyota;Corolla;28551;30/10/2023;Carnaxide;Definitiva;16/11/2023;815,26;268,46;130,32;91,03;0;Não;;Concluído;13/12/2023;3;13/12/2023;15/12/2023;0;2;2;3,34;6,88
3851;26/10/2023;Renault;Clio;105198;30/10/2023;Carnaxide;Definitiva;31/10/2023;133,59;146,44;120,07;70,93;0;Não;;Concluído;16/11/2023;2;16/11/2023;17/11/2023;0;1,5;2;3,08;3,75
3712;10/10/2023;BMW;Serie 1;127651;30/10/2023;Carnaxide;Definitiva;30/10/2023;738,94;260,32;221,11;130,18;0;Não;;Concluído;22/11/2023;3;22/11/2023;24/11/2023;0;3;3;5,67;6,67
